species,length,mass
Phorcus turbinatus,16.13,2.39
Phorcus turbinatus,18.83,3.35
Phorcus turbinatus,9.46,0.49
Phorcus turbinatus,13.75,1.72
Phorcus turbinatus,15.41,1.98
Phorcus turbinatus,10.84,0.67
Phorcus turbinatus,16.74,2.21
Phorcus turbinatus,9.07,0.39
Phorcus turbinatus,16.13,2.13
Phorcus turbinatus,14.93,1.64
Phorcus turbinatus,14.09,1.6
Phorcus turbinatus,16.21,2.36
Phorcus turbinatus,14.67,1.75
Phorcus turbinatus,15.62,2.29
Phorcus turbinatus,14.07,1.81
Phorcus turbinatus,15.48,1.8
Phorcus turbinatus,15.12,1.92
Phorcus turbinatus,16.35,2.07
Phorcus turbinatus,14.28,1.86
Phorcus turbinatus,14.2,1.57
Phorcus turbinatus,15.95,2.12
Phorcus turbinatus,15.81,2.2
Phorcus turbinatus,14.53,1.93
Phorcus turbinatus,16.37,2.22
Hexaplex trunculus,36.26,5.08
Stramonita haemastoma,36.58,8.64
Stramonita haemastoma,40.37,15.03
Stramonita haemastoma,40.62,12.58
Phorcus turbinatus,15.76,2.67
Phorcus turbinatus,13.12,1.27
Phorcus turbinatus,20,3.99
Phorcus turbinatus,15.88,1.88
Phorcus turbinatus,8.13,0.29
Phorcus turbinatus,7.87,0.32
Phorcus turbinatus,16.61,2.54
Phorcus turbinatus,16.3,2.2
Phorcus turbinatus,12.79,1.1
Phorcus turbinatus,8.55,0.28
Phorcus turbinatus,7.86,0.28
Phorcus turbinatus,14.48,1.89
Phorcus turbinatus,9.73,0.58
Phorcus turbinatus,14.54,1.78
Phorcus turbinatus,10.78,0.77
Phorcus turbinatus,6.55,0.2
Phorcus turbinatus,13.72,1.41
Phorcus turbinatus,9.94,0.52
Phorcus turbinatus,7.2,0.24
Phorcus turbinatus,11.64,0.95
Phorcus turbinatus,11.1,0.79
Phorcus turbinatus,9.2,0.47
Phorcus turbinatus,15.06,1.88
Phorcus turbinatus,16.43,2.05
Phorcus turbinatus,15.64,2.35
Phorcus turbinatus,14.14,1.71
Phorcus turbinatus,16.21,2.23
Phorcus turbinatus,9.69,0.45
Phorcus turbinatus,16.58,2.12
Phorcus turbinatus,11.51,0.87
Phorcus turbinatus,7.15,0.27
Phorcus turbinatus,8.63,0.41
Phorcus turbinatus,7,0.24
Phorcus turbinatus,7.67,0.24
Phorcus turbinatus,8.76,0.4
Phorcus turbinatus,8.17,0.33
Phorcus turbinatus,10.71,0.76
Phorcus turbinatus,14.25,1.56
Phorcus turbinatus,12.99,1.31
Phorcus turbinatus,16.89,2.63
Phorcus turbinatus,16.81,2.49
Phorcus turbinatus,16.64,2.86
Phorcus turbinatus,9.25,0.45
Phorcus turbinatus,7.92,0.41
Phorcus turbinatus,17.33,2.79
Phorcus turbinatus,13.59,1.62
Phorcus turbinatus,12,0.97
Phorcus turbinatus,10.8,0.81
Phorcus turbinatus,9.39,0.57
Phorcus turbinatus,15,2.01
Phorcus turbinatus,13.37,1.37
Phorcus turbinatus,15.32,2.06
